"ASV_ID","ASV_sha","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"ASV_691","d241d6109cf25ac144ba599a1f42250b","Bacteria","Bacillota_A","Clostridia","Peptostreptococcales","Peptostreptococcaceae",NA,NA
"ASV_692","79e52e97dc33d94bee90252851797be6","Bacteria","Bacteroidota","Bacteroidia","Cytophagales","Hymenobacteraceae","Hymenobacter",NA
"ASV_693","e3569131130fa23b9871bff2aacfe619","Bacteria","Verrucomicrobiota","Verrucomicrobiae","Chthoniobacterales",NA,NA,NA
"ASV_694","1ec9fd06c88669eb15764e0b441ade46","Bacteria","Pseudomonadota","Gammaproteobacteria","Burkholderiales","Burkholderiaceae","Robbsia","Robbsia andropogonis"
"ASV_695","6e497bab54208cc3c3e4b06b3dbc38ff","Bacteria","Acidobacteriota","Terriglobia","Acidoferrales","UBA7541","Palsa-295","Palsa-295 sp021780215"
"ASV_696","8aaaa8d82e84f0578c2ed71c52346da9","Bacteria","Chloroflexota","Limnocylindria","Limnocylindrales","CSP1-4","CAIXZV01",NA
"ASV_697","bdc42cd3d3e1812eb3b01b6b739ad903","Bacteria","Verrucomicrobiota","Verrucomicrobiae","Pedosphaerales","UBA11358","UBA11358","UBA11358 sp903835255"
"ASV_698","998f35ccb3ba9661491894926b15f1bc","Bacteria","Pseudomonadota","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Lutimaribacter",NA
"ASV_699","82eb91b2313994ebcd5e4aa3729b349d","Bacteria","Acidobacteriota","Terriglobia","Terriglobales","Koribacteraceae",NA,NA
"ASV_700","0bf6dd68c5f5c83586345f1d8615baea","Bacteria","Actinomycetota","Actinomycetia","Streptosporangiales","Streptosporangiaceae","Trebonia","Trebonia kvetii"
"ASV_701","98e07d96b269edfb464b98235ac54e77","Bacteria","Pseudomonadota","Alphaproteobacteria","Azospirillales","Azospirillaceae","Nitrospirillum",NA
"ASV_702","50e5c97ca46d1b2cd105f7e13bb076fc","Bacteria","Chloroflexota","Limnocylindria","Limnocylindrales","CSP1-4","CAIXZV01","CAIXZV01 sp903930745"
"ASV_703","ee7c7129a7bd1501728039b520f41995","Bacteria","Actinomycetota","Acidimicrobiia","Acidimicrobiales","Acidimicrobiaceae",NA,NA
"ASV_704","7480de24425ade76dfd6e3882fa173b6","Bacteria","Pseudomonadota","Gammaproteobacteria","Xanthomonadales","Rhodanobacteraceae","Dokdonella_A","Dokdonella_A sp002632325"
"ASV_705","6ba0e451b059241f651f3d3b860acf3f","Bacteria","Dormibacterota","Dormibacteria","UBA8260","UBA8260","Palsa-851",NA
"ASV_706","2ff49c00fa6ca606d89de235f96664b4","Bacteria","Actinomycetota","Thermoleophilia","Solirubrobacterales","70-9",NA,NA
"ASV_707","bffd6e7320d0aa746feb22974f1388eb","Bacteria","Chloroflexota","Limnocylindria","Limnocylindrales","CSP1-4","C-114","C-114 sp015478725"
"ASV_708","9341b8bdaf26236af77e6e025b883bc2","Bacteria","Actinomycetota","Actinomycetia","Mycobacteriales","Nakamurellaceae","Nakamurella","Nakamurella endophytica"
"ASV_709","c93a6006f6eb105c8333bfd8dec75106","Bacteria","Actinomycetota","Thermoleophilia",NA,NA,NA,NA
"ASV_710","a18c57c9b518b57af3f6e877796dd9ec","Bacteria","Actinomycetota","Thermoleophilia","Gaiellales","Gaiellaceae","Palsa-739","Palsa-739 sp019683855"
"ASV_711","4c332960b3e08bad4bbc005640907e5c","Bacteria","Actinomycetota","Acidimicrobiia","Acidimicrobiales",NA,NA,NA
"ASV_712","ad145b5c8b7c9b7ffb1c647fa0da640d","Bacteria","Acidobacteriota","Vicinamibacteria","Vicinamibacterales","UBA2999","Gp6-AA45","Gp6-AA45 sp020073005"
"ASV_713","f37963312cf555e6d0a97b696ddde52a","Bacteria","Bacteroidota","Bacteroidia","Cytophagales","Hymenobacteraceae","Hymenobacter",NA
"ASV_714","b07628dd3c235bedffc62954bda7a522","Bacteria","Verrucomicrobiota","Verrucomicrobiae","Pedosphaerales","UBA11358","UBA11358",NA
"ASV_715","faf12d1e8ced164ada65be05df6962d1","Bacteria","Acidobacteriota","Vicinamibacteria","Fen-336",NA,NA,NA
"ASV_716","8fc29f8f62a6dcd4b46977a3a7b0ff60","Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Tatumella",NA
"ASV_717","3e8e4b465c4691baf95cb20cb4d0fdca","Bacteria","Bacillota_A","Clostridia","Peptostreptococcales","Anaerovoracaceae","Sinanaerobacter","Sinanaerobacter chloroacetimidivorans"
"ASV_718","6f7fdad1419595b3bb1e5ceda289402b","Bacteria","Pseudomonadota","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingomonas_N",NA
"ASV_719","3852523902b72b40a7621775d8aa9435","Bacteria","Acidobacteriota","Terriglobia","Bryobacterales","Bryobacteraceae",NA,NA
"ASV_720","6fc221c40a6938f04e930da2b1429ee2","Bacteria","Pseudomonadota","Alphaproteobacteria","Acetobacterales","Acetobacteraceae","Rhodopila","Rhodopila sp009765975"
"ASV_721","996188bf1eaf71d1b91eb3ac9003917d","Bacteria","Pseudomonadota","Alphaproteobacteria","Azospirillales","Azospirillaceae","Arenibaculum","Arenibaculum pallidiluteum"
"ASV_722","bef78abcb2c55711c1f4e60bd947bc18","Bacteria","Acidobacteriota","Terriglobia","Terriglobales","Acidobacteriaceae",NA,NA
"ASV_723","2a4ccb0613d3e07f186f2aecc062b2a4","Bacteria","Actinomycetota","Actinomycetia","Streptosporangiales","Streptosporangiaceae","Chersky-822","Chersky-822 sp021792855"
"ASV_724","7dc04d1b71739ce82181ea014729dc38","Bacteria","Actinomycetota","Thermoleophilia",NA,NA,NA,NA
"ASV_725","01743b43efe3065007107f4532d3b641","Bacteria","Pseudomonadota","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Lutimaribacter",NA
"ASV_726","fb2ba25e361408d65d04629bbfd125c0","Bacteria","Acidobacteriota","Terriglobia","Terriglobales","Koribacteraceae",NA,NA
"ASV_727","ce0548190f464ebfb2c85007f9483abf","Bacteria","Pseudomonadota","Alphaproteobacteria","Rhizobiales","Beijerinckiaceae","Roseiarcus","Roseiarcus sp009765995"
"ASV_728","3ebe761bfb1238c87195d431f41bf976","Bacteria","Pseudomonadota","Gammaproteobacteria","Pseudomonadales","Moraxellaceae","Acinetobacter",NA
"ASV_729","c05d7b9046b68e3700e9992ca6eb6170","Bacteria","Eremiobacterota","Eremiobacteria","Baltobacterales","Baltobacteraceae",NA,NA
"ASV_730","86f28db368729bb7249a3c3a2a9572b8","Bacteria","Pseudomonadota","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Lutimaribacter",NA
"ASV_731","07155d961aea72ab502375b13ea42c76","Bacteria","Myxococcota","Polyangia","Fen-1088","Fen-1088","Fen-1137","Fen-1137 sp023438785"
"ASV_732","9088608f5912be9148f34e398660879b","Bacteria","Myxococcota",NA,NA,NA,NA,NA
"ASV_733","8746da8883227110f55502e2bf70003b","Bacteria","Actinomycetota","Actinomycetia","Streptosporangiales","Streptosporangiaceae","Chersky-822","Chersky-822 sp021792855"
"ASV_734","21b726d9e46d31c3340e0ded2ce93cda","Bacteria","Myxococcota","Myxococcia","Myxococcales","Myxococcaceae","Aggregicoccus","Aggregicoccus sp009659535"
"ASV_735","99aba3fbae493b4e7334225d90946542","Bacteria","Acidobacteriota","Terriglobia","Terriglobales","Acidobacteriaceae",NA,NA
"ASV_736","119d688b0937024a3181de0e34078042","Bacteria","Chloroflexota","Limnocylindria","Limnocylindrales","CSP1-4","CTSoil-043","CTSoil-043 sp021802585"
"ASV_737","b46ef55994ad53bd3355ea54a66393ba","Bacteria","Eremiobacterota","Eremiobacteria","Baltobacterales","Baltobacteraceae",NA,NA
"ASV_738","550d77e309064fe6007d553da3dcba2f","Bacteria","Acidobacteriota","Terriglobia","Acidoferrales","UBA7541","Palsa-295",NA
"ASV_739","f3f233332469010e0a39f91b4ea8406e","Bacteria","Pseudomonadota","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingomonas",NA
"ASV_740","d0d02f9ef4d7b00ae2480eff7b6bc314","Bacteria","Gemmatimonadota","Gemmatimonadetes","Gemmatimonadales","Gemmatimonadaceae",NA,NA
