"SampleID","F","R","Extraction_batch","PCR_batch","Plate","Well","Ale_ID","SampleOrigin","IsolationMethod","Tissue","Site","Tree","GlobalSampleID","SampleType","SequencingType","Disease","disease_tissue","site_tissue","FullSiteName","AODProx","AODZone","AODIsolated","Elevation_1haAve","DD_11point5Deg_CLIMEX5km","pAOD","groundfrost","hurs","psl","pv","rainfall","sfcWind","snowLying","sun","tas","tasmax","tasmin","H","NOx","NHx","Ntot","SOx","xSOx","Ca","Mg","CaMg","Cl","Easting","Northing"
"Stem_16S_F20_R2","F20","R2","13",2,8,"B8",NA,"Microbiome",NA,"Stem","MOCCA","CE30","Microbiome_Stem_MOCCA_CE30","Sample","NovaSeq","Control","Control_Stem","MOCCA Stem","Moccas Park","AOD",1,"Y",75.60000038,361,0.589939171,102.591049802407,82.2508069966361,1015.09169602442,10.4702027127386,748.001407687541,2.37448221131812,3.38769477451315,1525.6258266755,10.3865181440589,14.5524783780826,6.16428264612702,0.0267133504210385,1.01777161864032,2.4123507376651,3.43012235630542,1.39463324625171,1.14148810021675,0.631676545121484,0.533760850426514,1.165437395548,5.3373514195248,334962,243136
"Stem_16S_F20_R3","F20","R3","13",2,8,"C8",NA,"Microbiome",NA,"Stem","MOCCA","E36","Microbiome_Stem_MOCCA_E36","Sample","NovaSeq","DiseaseCOD","DiseaseCOD_Stem","MOCCA Stem","Moccas Park","AOD",1,"Y",75.60000038,361,0.589939171,102.591049802407,82.2508069966361,1015.09169602442,10.4702027127386,748.001407687541,2.37448221131812,3.38769477451315,1525.6258266755,10.3865181440589,14.5524783780826,6.16428264612702,0.0267133504210385,1.01777161864032,2.4123507376651,3.43012235630542,1.39463324625171,1.14148810021675,0.631676545121484,0.533760850426514,1.165437395548,5.3373514195248,334962,243136
"Stem_16S_F20_R4","F20","R4","13",2,8,"D8",NA,"Microbiome",NA,"Stem","MOCCA","CE29","Microbiome_Stem_MOCCA_CE29","Sample","NovaSeq","Control","Control_Stem","MOCCA Stem","Moccas Park","AOD",1,"Y",75.60000038,361,0.589939171,102.591049802407,82.2508069966361,1015.09169602442,10.4702027127386,748.001407687541,2.37448221131812,3.38769477451315,1525.6258266755,10.3865181440589,14.5524783780826,6.16428264612702,0.0267133504210385,1.01777161864032,2.4123507376651,3.43012235630542,1.39463324625171,1.14148810021675,0.631676545121484,0.533760850426514,1.165437395548,5.3373514195248,334962,243136
"Stem_16S_F20_R5","F20","R5","13",2,8,"E8",NA,"Microbiome",NA,"Stem","STHWK","E33","Microbiome_Stem_STHWK_E33","Sample","NovaSeq","DiseaseCOD","DiseaseCOD_Stem","STHWK Stem","Southwick","AOD",1,"Y",76.20000076,534,0.573390304,94.091978111887,80.9855576146784,1014.70742426711,10.168217847667,663.130038071109,4.57446972566958,7.10177694671434,1609.22162396352,10.0736836024596,14.3001542917174,5.87293307741785,0.020483377,1.04726445939918,2.092389294,3.13965375378804,1.50333014901132,1.41243422375172,0.496647902723108,0.242312250671579,0.738960153394686,1.97981878546326,500156.2,292793.7
"Stem_16S_F20_R6","F20","R6","13",2,8,"F8",NA,"Microbiome",NA,"Stem","STHWK","CE26","Microbiome_Stem_STHWK_CE26","Sample","NovaSeq","Control","Control_Stem","STHWK Stem","Southwick","AOD",1,"Y",76.20000076,534,0.573390304,94.091978111887,80.9855576146784,1014.70742426711,10.168217847667,663.130038071109,4.57446972566958,7.10177694671434,1609.22162396352,10.0736836024596,14.3001542917174,5.87293307741785,0.020483377,1.04726445939918,2.092389294,3.13965375378804,1.50333014901132,1.41243422375172,0.496647902723108,0.242312250671579,0.738960153394686,1.97981878546326,500156.2,292793.7
"Stem_16S_F20_R7","F20","R7","13",2,8,"G8",NA,"Microbiome",NA,"Stem","STHWK","E42","Microbiome_Stem_STHWK_E42","Sample","NovaSeq","DiseaseCOD","DiseaseCOD_Stem","STHWK Stem","Southwick","AOD",1,"Y",76.20000076,534,0.573390304,94.091978111887,80.9855576146784,1014.70742426711,10.168217847667,663.130038071109,4.57446972566958,7.10177694671434,1609.22162396352,10.0736836024596,14.3001542917174,5.87293307741785,0.020483377,1.04726445939918,2.092389294,3.13965375378804,1.50333014901132,1.41243422375172,0.496647902723108,0.242312250671579,0.738960153394686,1.97981878546326,500156.2,292793.7
"Stem_16S_F20_R8","F20","R8","14",2,8,"H8",NA,"Microbiome",NA,"Stem","STHWK","E38","Microbiome_Stem_STHWK_E38","Sample","NovaSeq","DiseaseCOD","DiseaseCOD_Stem","STHWK Stem","Southwick","AOD",1,"Y",76.20000076,534,0.573390304,94.091978111887,80.9855576146784,1014.70742426711,10.168217847667,663.130038071109,4.57446972566958,7.10177694671434,1609.22162396352,10.0736836024596,14.3001542917174,5.87293307741785,0.020483377,1.04726445939918,2.092389294,3.13965375378804,1.50333014901132,1.41243422375172,0.496647902723108,0.242312250671579,0.738960153394686,1.97981878546326,500156.2,292793.7
"Stem_16S_F21_R1","F21","R1","13",2,8,"A9",NA,"Microbiome",NA,"Stem","STHWK","E31","Microbiome_Stem_STHWK_E31","Sample","NovaSeq","DiseaseCOD","DiseaseCOD_Stem","STHWK Stem","Southwick","AOD",1,"Y",76.20000076,534,0.573390304,94.091978111887,80.9855576146784,1014.70742426711,10.168217847667,663.130038071109,4.57446972566958,7.10177694671434,1609.22162396352,10.0736836024596,14.3001542917174,5.87293307741785,0.020483377,1.04726445939918,2.092389294,3.13965375378804,1.50333014901132,1.41243422375172,0.496647902723108,0.242312250671579,0.738960153394686,1.97981878546326,500156.2,292793.7
"Stem_16S_F21_R19","F21","R19","10",2,7,"C9",NA,"Microbiome",NA,"Stem","MOCCA","C1","Microbiome_Stem_MOCCA_C1","Sample","NovaSeq","Control","Control_Stem","MOCCA Stem","Moccas Park","AOD",1,"Y",75.60000038,361,0.589939171,102.591049802407,82.2508069966361,1015.09169602442,10.4702027127386,748.001407687541,2.37448221131812,3.38769477451315,1525.6258266755,10.3865181440589,14.5524783780826,6.16428264612702,0.0267133504210385,1.01777161864032,2.4123507376651,3.43012235630542,1.39463324625171,1.14148810021675,0.631676545121484,0.533760850426514,1.165437395548,5.3373514195248,334962,243136
"Stem_16S_F21_R2","F21","R2","13",2,8,"B9",NA,"Microbiome",NA,"Stem","STHWK","E44","Microbiome_Stem_STHWK_E44","Sample","NovaSeq","DiseaseCOD","DiseaseCOD_Stem","STHWK Stem","Southwick","AOD",1,"Y",76.20000076,534,0.573390304,94.091978111887,80.9855576146784,1014.70742426711,10.168217847667,663.130038071109,4.57446972566958,7.10177694671434,1609.22162396352,10.0736836024596,14.3001542917174,5.87293307741785,0.020483377,1.04726445939918,2.092389294,3.13965375378804,1.50333014901132,1.41243422375172,0.496647902723108,0.242312250671579,0.738960153394686,1.97981878546326,500156.2,292793.7
